scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V544,contre,pour,pour,pour,False
VTANR5L16V55,pour,contre,contre,contre,False
VTANR5L16V551,pour,abstention,pour,pour,False
VTANR5L16V552,,abstention,abstention,abstention,False
VTANR5L16V557,contre,contre,abstention,contre,False
VTANR5L16V559,pour,,,pour,False
VTANR5L16V560,pour,abstention,,pour,False
VTANR5L16V561,pour,pour,contre,abstention,False
VTANR5L16V563,contre,,contre,contre,False
VTANR5L16V564,pour,pour,,pour,False
VTANR5L16V565,abstention,contre,,contre,False
VTANR5L16V568,pour,pour,contre,pour,False
VTANR5L16V569,abstention,abstention,pour,pour,False
VTANR5L16V570,abstention,abstention,contre,abstention,False
VTANR5L16V571,abstention,contre,pour,contre,False
VTANR5L16V572,contre,contre,pour,contre,False
VTANR5L16V574,contre,contre,contre,,False
VTANR5L16V575,abstention,abstention,contre,,False
VTANR5L16V578,,,contre,contre,False
VTANR5L16V579,,,contre,contre,False
VTANR5L16V580,abstention,abstention,pour,abstention,False
VTANR5L16V583,contre,,contre,contre,False
VTANR5L16V584,pour,abstention,pour,pour,False
VTANR5L16V585,contre,contre,pour,abstention,False
VTANR5L16V586,contre,contre,abstention,contre,False
VTANR5L16V587,,abstention,pour,pour,False
VTANR5L16V588,,contre,pour,abstention,False
VTANR5L16V589,,contre,pour,contre,False
VTANR5L16V59,contre,contre,abstention,contre,False
VTANR5L16V590,,contre,contre,contre,False
VTANR5L16V591,contre,contre,abstention,contre,False
VTANR5L16V592,contre,contre,pour,abstention,False
VTANR5L16V594,contre,contre,pour,contre,False
VTANR5L16V596,pour,pour,abstention,pour,False
VTANR5L16V597,pour,pour,contre,pour,False
VTANR5L16V60,abstention,pour,abstention,pour,False
VTANR5L16V600,pour,pour,contre,pour,False
VTANR5L16V601,contre,contre,pour,abstention,False
VTANR5L16V602,pour,pour,,pour,False
VTANR5L16V604,contre,contre,pour,contre,False
VTANR5L16V606,contre,,contre,abstention,False
VTANR5L16V607,,,contre,contre,False
VTANR5L16V608,,,contre,,False
VTANR5L16V611,pour,pour,,pour,False
VTANR5L16V612,abstention,,,abstention,False
VTANR5L16V613,pour,pour,,pour,False
VTANR5L16V614,contre,contre,,contre,False
VTANR5L16V615,contre,,,contre,False
VTANR5L16V616,abstention,abstention,,abstention,False
VTANR5L16V617,contre,contre,,contre,False
VTANR5L16V62,pour,abstention,pour,pour,False
VTANR5L16V623,contre,contre,abstention,contre,False
VTANR5L16V624,contre,abstention,abstention,abstention,False
VTANR5L16V63,abstention,,pour,pour,False
VTANR5L16V631,contre,contre,pour,contre,False
VTANR5L16V632,pour,pour,,pour,False
VTANR5L16V634,pour,pour,,pour,False
VTANR5L16V64,abstention,pour,abstention,pour,False
VTANR5L16V651,abstention,abstention,pour,pour,False
VTANR5L16V652,pour,abstention,pour,pour,False
VTANR5L16V653,pour,abstention,pour,pour,False
VTANR5L16V658,,pour,pour,pour,False
VTANR5L16V659,contre,,contre,,False
VTANR5L16V66,abstention,contre,abstention,contre,False
VTANR5L16V660,contre,contre,contre,,False
VTANR5L16V666,abstention,contre,contre,contre,False
VTANR5L16V667,pour,contre,contre,contre,False
VTANR5L16V669,pour,abstention,abstention,contre,False
VTANR5L16V67,abstention,pour,pour,pour,False
VTANR5L16V670,pour,pour,contre,pour,False
VTANR5L16V671,contre,contre,abstention,contre,False
VTANR5L16V672,pour,,abstention,contre,False
VTANR5L16V673,,contre,contre,contre,False
VTANR5L16V675,pour,contre,contre,contre,False
VTANR5L16V676,pour,contre,contre,contre,False
VTANR5L16V677,pour,contre,contre,contre,False
VTANR5L16V678,pour,pour,pour,contre,False
VTANR5L16V679,pour,contre,contre,contre,False
VTANR5L16V68,abstention,pour,pour,pour,False
VTANR5L16V680,,contre,contre,contre,False
VTANR5L16V681,,contre,contre,contre,False
VTANR5L16V682,pour,abstention,pour,pour,False
VTANR5L16V683,pour,contre,contre,contre,False
VTANR5L16V684,abstention,,contre,contre,False
VTANR5L16V686,pour,abstention,contre,contre,False
VTANR5L16V687,pour,pour,contre,contre,False
VTANR5L16V688,abstention,contre,contre,contre,False
VTANR5L16V69,abstention,contre,abstention,contre,False
VTANR5L16V690,abstention,pour,pour,pour,False
VTANR5L16V691,pour,pour,contre,pour,False
