uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V2655,l'amendement n° 278 de M. Lopez-Liguori à l'article premier du projet de loi visant à sécuriser et réguler l'espace numérique (première lecture).,scrutin public ordinaire,2023-10-05,RUANR5L16S2024IDS27615,rejeté,False,True,False,CRSANR5L16S2024O1N007,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2655,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N007
VTANR5L16V1135,l'amendement n° 95 de Mme Loir après l'article 2 de la proposition de loi relative à la prévention de l'exposition excessive des enfants aux écrans (première lecture).,scrutin public ordinaire,2023-03-07,RUANR5L16S2023IDS26860,rejeté,False,True,False,CRSANR5L16S2023O1N170,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1135,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N170
VTANR5L16V1596,l'amendement n° 203 de M. Boccaletti à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-23,RUANR5L16S2023IDS27070,rejeté,False,True,False,CRSANR5L16S2023O1N241,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1596,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N241
VTANR5L16V1599,l'amendement n° 65 de Mme Colombier à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-23,RUANR5L16S2023IDS27071,rejeté,False,True,False,CRSANR5L16S2023O1N242,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1599,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N242
VTANR5L16V1429,l'amendement n° 881 de Mme Lavalette à l'article 3 de la proposition de loi portant mesures pour bâtir la société du bien vieillir en France (première lecture).,scrutin public ordinaire,2023-04-13,RUANR5L16S2023IDS27002,rejeté,False,True,False,CRSANR5L16S2023O1N215,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1429,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N215
VTANR5L16V3639,l'amendement n° 72 de M. Meurin à l'article 2 de la proposition de loi visant à protéger la population des risques liés aux per- et polyfluoroalkylées (première lecture).,scrutin public ordinaire,2024-04-04,RUANR5L16S2024IDS28205,rejeté,False,True,False,CRSANR5L16S2024O1N169,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3639,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N169
VTANR5L16V2436,l'amendement n° 38 de M. Ballard à l'article 3 du projet de loi relatif à l'accélération de la reconstruction et de la réfection des bâtiments dégradés ou détruits au cours des violences urbaines survenues du 27 juin au 5 juillet 2023 (première lecture).,scrutin public ordinaire,2023-07-20,RUANR5L16S2023IDS27505,rejeté,False,True,False,CRSANR5L16S2023E1N025,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2436,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N025
VTANR5L16V1279,l'amendement n° 127 de M. Cabrolier à l'article 18 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-23,RUANR5L16S2023IDS26891,rejeté,False,True,False,CRSANR5L16S2023O1N189,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1279,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N189
VTANR5L16V2279,l'amendement n° 44 de M. Gillet à l'article premier et rapport annexé du projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (première lecture).,scrutin public ordinaire,2023-07-12,RUANR5L16S2023IDS27451,rejeté,False,True,False,CRSANR5L16S2023E1N015,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2279,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N015
VTANR5L16V175,l'amendement n° 633 de M. Jean-Philippe Tanguy après l'article 10 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-26,RUANR5L16S2022IDS26216,rejeté,False,True,False,CRSANR5L16S2022E1N024,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/175,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N024
VTANR5L16V3258,l'amendement n° 36 de Mme Florence Goulet après l'article 5 de la proposition de loi visant à remédier aux déséquilibres du marché locatif (première lecture).,scrutin public ordinaire,2024-01-29,RUANR5L16S2024IDS28028,rejeté,False,True,False,CRSANR5L16S2024O1N106,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3258,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N106
VTANR5L16V1541,l'amendement n° 537 de M. Meurin à l'article 13 de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-16,RUANR5L16S2023IDS27060,rejeté,False,True,False,CRSANR5L16S2023O1N235,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1541,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N235
VTANR5L16V684,l'amendement n° 1533 (rect.) de M. Meurin à l'article 1er F du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-07,RUANR5L16S2023IDS26601,rejeté,False,True,False,CRSANR5L16S2023O1N087,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/684,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N087
VTANR5L16V2201,l'amendement n° 1064 de M. Guitton à l'article 14 du projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (première lecture).,scrutin public ordinaire,2023-07-10,RUANR5L16S2023IDS27446,rejeté,False,True,False,CRSANR5L16S2023E1N010,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2201,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N010
VTANR5L16V4009,l'amendement n° 2524 de M. Dessigny à l'article 2 du projet de loi relatif à l'accompagnement des malades et de la fin de vie (première lecture).,scrutin public ordinaire,2024-05-31,RUANR5L16S2024IDS28388,rejeté,False,True,False,CRSANR5L16S2024O1N222,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/4009,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N222
VTANR5L16V2380,le sous-amendement n° 1705 de M. Meizonnet à l'amendement n° 463 de Mme Bonnivard à l'article 1er bis A (supprimé) du projet de loi relatif à l'industrie verte (première lecture).,scrutin public ordinaire,2023-07-18,RUANR5L16S2023IDS27501,rejeté,False,True,True,CRSANR5L16S2023E1N021,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2380,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N021
VTANR5L16V3032,l'amendement n° 2 de M. de Lépinau à l'article unique de la proposition de loi visant à prolonger en 2024 l'utilisation des titres-restaurant pour les achats de produits alimentaires non directement consommables (première lecture).,scrutin public ordinaire,2023-11-23,RUANR5L16S2024IDS27841,rejeté,False,True,False,CRSANR5L16S2024O1N060,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3032,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N060
VTANR5L16V2393,l'amendement n° 676 de Mme Menache à l'article 2 du projet de loi relatif à l'industrie verte (première lecture).,scrutin public ordinaire,2023-07-19,RUANR5L16S2023IDS27502,rejeté,False,True,False,CRSANR5L16S2023E1N022,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2393,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N022
