acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA721046,PM797769,False,pour,PO800532,2023-10-04,VTANR5L16V2652,pour,Bassire,Nathalie,Mme,LIOT
PA719608,PM796593,False,pour,PO793087,2023-10-04,VTANR5L16V2652,pour,Ménard,Emmanuelle,Mme,NI
PA719608,PM796593,False,pour,PO793087,2023-11-02,VTANR5L16V2849,pour,Ménard,Emmanuelle,Mme,NI
PA719550,PM796551,True,pour,PO800538,2022-10-14,VTANR5L16V298,contre,Tanguy,Liliana,Mme,RE
PA720932,PM797586,False,pour,PO800538,2022-10-14,VTANR5L16V298,contre,Da Silva,Dominique,M.,RE
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V298,pour,Ménard,Emmanuelle,Mme,NI
PA643175,PM796794,False,pour,PO800538,2022-10-13,VTANR5L16V285,contre,Dupont,Stella,Mme,RE
PA1327,PM796632,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Forissier,Nicolas,M.,LR
PA1874,PM796383,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Le Fur,Marc,M.,LR
PA330008,PM796158,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Breton,Xavier,M.,LR
PA332523,PM796683,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Dalloz,Marie-Christine,Mme,LR
PA608016,PM797100,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Louwagie,Véronique,Mme,LR
PA794914,PM797190,False,pour,PO800508,2022-10-13,VTANR5L16V285,pour,Vincendet,Alexandre,M.,LR
PA719138,PM796356,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Castellani,Michel,M.,LIOT
PA719146,PM796359,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Acquaviva,Jean-Félix,M.,LIOT
PA720976,PM797667,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Mathiasin,Max,M.,LIOT
PA795244,PM797379,False,pour,PO800532,2022-10-13,VTANR5L16V285,pour,Lenormand,Stéphane,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-10-13,VTANR5L16V285,pour,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-04-13,VTANR5L16V1437,pour,Breton,Xavier,M.,LR
PA719890,PM796680,False,pour,PO800538,2023-07-11,VTANR5L16V2239,contre,Brulebois,Danielle,Mme,RE
PA722292,PM797241,False,pour,PO800538,2023-07-11,VTANR5L16V2239,contre,Rudigoz,Thomas,M.,RE
PA719608,PM796593,False,pour,PO793087,2023-07-11,VTANR5L16V2239,pour,Ménard,Emmanuelle,Mme,NI
PA719032,PM796308,True,pour,PO800538,2024-01-22,VTANR5L16V3226,contre,Bouyx,Bertrand,M.,RE
PA795688,PM826706,False,pour,PO800538,2024-01-22,VTANR5L16V3226,contre,Emmanuel,Philippe,M.,RE
PA330240,PM796155,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Ciotti,Éric,M.,LR
PA267429,PM796722,False,pour,PO800508,2023-01-24,VTANR5L16V884,pour,Cinieri,Dino,M.,LR
