scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V82,pour,pour,pour,pour,True,l'amendement n° 806 de Mme Rabault à l'article liminaire du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V86,,contre,contre,contre,False,l'amendement n° 518 de Mme Le Pen avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V83,pour,pour,pour,pour,True,l'amendement n° 913 de M. Zulesi avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V89,pour,pour,pour,pour,True,l'amendement n° 2 de M. Philippe Brun avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V101,contre,contre,contre,contre,True,l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V111,pour,pour,pour,pour,True,l'amendement n° 649 de Mme Pires Beaune après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V121,pour,pour,pour,pour,True,l'amendement n° 936 de Mme Pires Beaune après l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V92,pour,pour,pour,pour,True,l'amendement de suppression n° 1 de M. Echaniz et les amendements identiques suivants à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V105,pour,pour,pour,pour,True,l'amendement n° 4 de Mme Pires Beaune et les amendements identiques suivants après l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V120,pour,pour,pour,pour,True,l'amendement n° 290 de M. Pancher après l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V94,pour,pour,pour,pour,True,l'amendement n° 304 de Mme Taillé-Polian à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V95,pour,pour,pour,pour,True,l'amendement n° 1004 de Mme Legrain à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V119,pour,pour,pour,pour,True,l'amendement n° 174 de la commission des finances et les amendements identiques suivants après l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V112,,pour,pour,abstention,False,l'amendement n° 490 de M. Dumont et les amendements identiques suivants après l'article 3 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V96,pour,pour,pour,pour,True,l'amendement n° 1018 de M. Corbière à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V118,pour,pour,pour,pour,True,l'amendement n° 173 de la commission des finances et les amendements identiques suivants après l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V117,pour,pour,pour,pour,True,l'amendement n° 628 de M. Julien-Laferrière après l'article 4 du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V98,pour,pour,pour,pour,True,l'amendement n° 451 de M. Vannier à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
VTANR5L16V99,contre,contre,contre,contre,True,l'amendement n° 974 de Mme Bergé et les amendements identiques suivants à l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-23,False
