acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA330008,PM796158,False,pour,PO800508,2023-05-16,VTANR5L16V1537,contre,Breton,Xavier,M.,LR
PA346782,PM797691,False,pour,PO800508,2022-10-14,VTANR5L16V317,pour,Juvin,Philippe,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V317,pour,Ménard,Emmanuelle,Mme,NI
PA722102,PM797850,False,pour,PO800538,2023-03-07,VTANR5L16V1138,contre,Vidal,Annie,Mme,RE
PA330008,PM796158,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Breton,Xavier,M.,LR
PA608016,PM797100,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Louwagie,Véronique,Mme,LR
PA718884,PM796218,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Bazin-Malgras,Valérie,Mme,LR
PA642847,PM796872,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Bazin,Thibault,M.,LR
PA794038,PM796668,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Neuder,Yannick,M.,LR
PA794178,PM796755,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Taite,Jean-Pierre,M.,LR
PA794410,PM796911,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Seitlinger,Vincent,M.,LR
PA330909,PM796314,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Descoeur,Vincent,M.,LR
PA342240,PM796707,False,pour,PO800508,2023-03-07,VTANR5L16V1138,pour,Bourgeaux,Jean-Luc,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-03-07,VTANR5L16V1138,pour,Ménard,Emmanuelle,Mme,NI
PA721816,PM797571,False,pour,PO800508,2023-03-06,VTANR5L16V1125,pour,Boucard,Ian,M.,LR
